Time:2017_11_01 21:32:40 | Type:cmd batch | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:32:40 | Type:cmd batch | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:32:40 | Type:cmd batch | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:36:09 | Type:cmd batch | Detial:ifconfig | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:36:09 | Type:cmd batch | Detial:ifconfig | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:36:09 | Type:cmd batch | Detial:ifconfig | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:36:11 | Type:cmd batch | Detial: | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:36:11 | Type:cmd batch | Detial: | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:36:11 | Type:cmd batch | Detial: | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:37:26 | Type:cmd batch | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:37:26 | Type:cmd batch | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_01 21:37:26 | Type:cmd batch | Detial:df | Server:192.168.2.110 | Result:failed
